Symbol,Name,Sector,Validtill
ZEEL,Zee Entertainment Enterprises Ltd.,Media & Entertainment,2022-12-26 11:20:16
OIL,Oil India Ltd.,Energy,2022-12-26 11:20:16
DABUR,Dabur India Ltd.,Consumer Goods,2022-12-26 11:20:16
NBCC,NBCC (India) Ltd.,Construction,2022-12-26 11:20:16
GODREJCP,Godrej Consumer Products Ltd.,Consumer Goods,2022-12-26 11:20:16
IFCI,IFCI Ltd.,Financial Services,2022-12-26 11:20:16
HEXAWARE,Hexaware Technologies Ltd.,Information Technology,2022-12-26 11:20:16
APOLLOTYRE,Apollo Tyres Ltd.,Automobile,2022-12-26 11:20:16
TATACOMM,TATA COMMUNICATIONS,Telecom,2022-12-26 11:20:16
DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharma,2022-12-26 11:20:16
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,2022-12-26 11:20:16
AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,2022-12-26 11:20:16
OBEROIRLTY,Oberoi Realty Limited,,2022-12-26 11:20:16
COALINDIA,Coal India Ltd.,Metals,2022-12-26 11:20:16
HAVELLS,Havells India Ltd.,Consumer Goods,2022-12-26 11:20:16
RPOWER,Reliance Power Ltd.,Energy,2022-12-26 11:20:16
RELINFRA,Reliance Infrastructure Ltd.,Energy,2022-12-26 11:20:16
BRITANNIA,Britannia Industries Ltd.,Consumer Goods,2022-12-26 11:20:16
KSCL,Kaveri Seed Company Ltd.,Consumer Goods,2022-12-26 11:20:16
GRASIM,Grasim Industries Ltd.,Cement & Cement Products,2022-12-26 11:20:16
